title,year,rating,imdb,rotten,service,type,original,minutes,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
Park Na-rae: Glamour Warning,2019,,4.5,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal the World,2014,,5.1,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-O-V-E.,2009,,4.8,,netflix,movie,0,93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Next Enti?,2018,,4.7,,netflix,movie,0,122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015 Dream Concert,2015,,5.9,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norm of the North: King Sized Adventure,2019,,3.2,,netflix,movie,0,90,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shorgul,2016,,5.6,,netflix,movie,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maroon,2016,7+,5.2,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antar, The Fourth Grandson of Shadad",2017,,3.9,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios,2015,,5.5,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
